maturity,window,signal,mean_forward,t_stat,p_value,count
2y,30,z<-2,-0.012023962264150898,-1.0732223734269082,0.2856316734562965,106
2y,30,z>+2,0.015983265306122475,1.0260489957341572,0.30742042376806183,98
5y,30,z<-2,-0.0037430612244897703,-0.26375296827168926,0.7925297905435453,98
5y,30,z>+2,0.016288452380952327,0.9310976758433664,0.354503428669374,84
10y,30,z<-2,0.0008938775510204501,0.07755897119882872,0.9383386407277893,98
10y,30,z>+2,0.03742670886075949,2.0730195418385087,0.04147271780186959,79
2y,60,z<-2,-0.00934861788617884,-1.0415414579375948,0.299683932011458,123
2y,60,z>+2,0.020992637362637397,1.4713930605939582,0.14467286643881616,91
5y,60,z<-2,-0.022909934210526315,-2.635534939222892,0.009277270076845444,152
5y,60,z>+2,0.028079999999999983,1.9290385201208464,0.05671071144585124,96
10y,60,z<-2,-0.001610952380952398,-0.1957641767303515,0.8450327470998084,168
10y,60,z>+2,0.047120340909090896,3.197919464372182,0.0019309568624471672,88
2y,120,z<-2,-0.04174496598639455,-5.116555557971698,9.641481887788586e-07,147
2y,120,z>+2,0.04538832061068701,4.239886358603068,4.211390529949946e-05,131
5y,120,z<-2,-0.01977188311688312,-2.3189316434221094,0.021722099984884575,154
5y,120,z>+2,0.042396880733944924,3.6763879147681,0.0003703006378973892,109
10y,120,z<-2,-0.03200710144927537,-3.071918592936614,0.0025661581022922817,138
10y,120,z>+2,0.0477970967741935,3.434619136710897,0.0008917825802230022,93
