maturity,signal,rate,vol,cell,n,mean_bps,std_pp,t_stat,t_pvalue,sign_p,wilcoxon_p,cohen_d,ci_low_bps,ci_high_bps,boot_low_bps,boot_high_bps
5y,z<-2,rising,highvol,rising+highvol,7,4.885714285714283,0.041643040920937874,3.1040924704459445,0.021006498156094122,0.125,0.03125,1.1732366747640117,1.034375351437923,8.73705321999064,2.2714285714285434,8.0721428571429
5y,z<-2,rising,lowvol,rising+lowvol,6,6.000000000000013,0.013130118049735958,11.193302604765728,9.932825520293132e-05,0.03125,0.03125,4.569646653040314,4.622078616256566,7.377921383743461,5.000000000000035,6.8333333333333846
5y,z<-2,falling,highvol,falling+highvol,28,1.774999999999997,0.02388959947263585,3.931592559782239,0.0005302212590335417,0.0037191659212112427,0.0010645166039466858,0.7430011549725463,0.8486580377102377,2.7013419622897565,0.9481249999999963,2.5840178571428574
5y,z<-2,falling,lowvol,falling+lowvol,7,1.2571428571428662,0.026707409351820574,1.2453800062245621,0.2594211382920609,0.453125,0.296875,0.47070939774889475,-1.212880541619208,3.7271662559049408,-0.7749999999999844,2.964642857142854
5y,z>+2,rising,highvol,rising+highvol,4,-4.000000000000009,0.03012197426021957,-2.655868413832747,0.07660851658953656,0.625,0.25,-1.3279342069163735,-8.79307828461518,0.7930782846151632,-6.249999999999995,-1.5499999999999985
5y,z>+2,rising,lowvol,rising+lowvol,7,-14.742857142857149,0.2475916376770813,-1.5754140156149103,0.1662301087919937,0.125,0.03125,-0.5954505281832402,-37.6412644853321,8.1555501996178,-32.98178571428573,-1.8400000000000023
5y,z>+2,falling,highvol,falling+highvol,9,-1.6666666666666694,0.03366006535941368,-1.4854397775557682,0.17573048477322675,1.0,0.30078125,-0.49514659251858945,-4.254008330335017,0.9206749970016785,-3.9777777777777814,0.3783333333333309
5y,z>+2,falling,lowvol,falling+lowvol,17,-0.48235294117647065,0.01946546716019685,-1.021702746166108,0.32212234509948423,0.629058837890625,0.4306793212890625,-0.2477993141427348,-1.483174912079343,0.5184690297264016,-1.2955882352941115,0.4504411764705814
10y,z<-2,rising,highvol,rising+highvol,8,3.649999999999995,0.03303677604471364,3.1249293185723945,0.016727927369936585,0.0703125,0.0234375,1.1048293559455986,0.8880564043424081,6.411943595657582,1.6093750000000375,5.619687499999997
10y,z<-2,rising,lowvol,rising+lowvol,5,2.240000000000002,0.03761382724477814,1.3316359000119817,0.25379638863429754,1.0,0.4375,0.5955256787411809,-2.4303735124496963,6.910373512449701,-0.7200000000000095,5.506000000000027
10y,z<-2,falling,highvol,falling+highvol,22,3.2590909090908955,0.05547428326617748,2.7555996152936935,0.011849939253411275,0.0008554458618164062,0.0009412765502929688,0.58749581196986,0.7994989792055655,5.718682838976226,1.3718181818181663,6.173409090909079
10y,z<-2,falling,lowvol,falling+lowvol,9,1.900000000000003,0.07994998436522655,0.7129457304158233,0.49614579816316573,1.0,0.8886378608950078,0.23764857680527443,-4.245499818524024,8.04549981852403,-1.941388888888868,7.4499999999999815
10y,z>+2,rising,highvol,rising+highvol,7,-3.228571428571419,0.035160177690650045,-2.429452195937006,0.05120056188527296,0.125,0.046875,-0.9182466189384405,-6.480345513301872,0.023202656159033996,-5.742857142857124,-0.8121428571428634
10y,z>+2,rising,lowvol,rising+lowvol,8,-7.249999999999996,0.10421132376090418,-1.9677416920120643,0.08978953312329933,0.0078125,0.0078125,-0.6957017470226108,-15.96228469348433,1.4622846934843392,-14.719687499999992,-2.836874999999993
10y,z>+2,falling,highvol,falling+highvol,8,-5.2499999999999964,0.06558527709348005,-2.264112170137294,0.057978702723761245,0.0703125,0.0390625,-0.8004845344355354,-10.733066380103114,0.2330663801031231,-9.71999999999999,-1.5250000000000024
10y,z>+2,falling,lowvol,falling+lowvol,14,-2.0785714285714425,0.0415362280636824,-1.8724141555963194,0.08381238357271918,0.1795654296875,0.10400390625,-0.5004237325990757,-4.476801836667788,0.3196589795249033,-4.230714285714298,-0.15714285714287057
